year,average_font_size_px,most_used_font,font_usage_count
2000,0,,0
2001,0,,0
2002,0,,0
2003,0,,0
2004,0,,0
2005,0,,0
2006,0.0,,0
2007,0.0,,0
2008,14.586304347826077,"Arial, Helvetica, sans-serif",1
2009,14.431399999999991,"Arial, Helvetica, sans-serif",1
2010,14.744827586206904,"'american typewriter',Georgia,serif",3
2011,14.988976377952763,"'american typewriter',Georgia,serif",3
2012,14.95492957746479,"'american typewriter',Georgia,serif",3
2013,14.51789898989899,"'Museo Sans 500','Segoe UI',sans-serif",3
2014,13.657953051643196,"'Segoe UI',Arial,sans-serif",7
2015,0,,0
2016,0,'Roboto',2
2017,0,,0
2018,0,,0
2019,0,,0
2020,12.566666666666668,,0
